id,recipient,jurisdiction,state,ein,type,amount,fips_code,fips
494,"TOWN OF WEST SPRINGFIELD
26 CENTRAL ST.
WEST SPRINGFIELD, MA 01089",West Springfield,MA,NA,LOCAL GOVERNMENT,16420,NA,NA
495,"TOWN OF WESTBOROUGH
34 WEST MAIN STREET
WESTBOROUGH, MA 01581",Westborough,MA,NA,LOCAL GOVERNMENT,8344,NA,NA
496,"CITY OF WESTFIELD
59 COURT STREET
WESTFIELD, MA 01085",Westfield,MA,NA,LOCAL GOVERNMENT,19440,NA,NA
497,"TOWN OF WESTFORD
55 MAIN STREET
WESTFORD, MA 01886",Westford,MA,NA,LOCAL GOVERNMENT,9681,NA,NA
498,"TOWN OF WESTPORT TOWN CLERK
816 MAIN RD.
WESTPORT, MA 02790",Westport,MA,NA,LOCAL GOVERNMENT,5018,NA,NA
499,"TOWN OF WESTWOOD
580 HIGH STREET
WESTWOOD, MA 02090",Westwood,MA,NA,LOCAL GOVERNMENT,5385,NA,NA
500,"TOWN OF WILMINGTON
121 GLEN ROAD
WILMINGTON, MA 01887",Wilmington,MA,NA,LOCAL GOVERNMENT,8600,NA,NA
501,"TOWN OF WINCHESTER							
71 MT. VERNON ST							
WINCHESTER, MA 01890",Winchester,MA,NA,LOCAL GOVERNMENT,7408,NA,NA
502,"TOWN OF WINTHROP							
94 BIRCH RD							
WINTHROP, MA 02152",Winthrop,MA,NA,LOCAL GOVERNMENT,7842,NA,NA
503,"CITY OF WOBURN
10 COMMON ST
WOBURN, MA 01801",Woburn,MA,NA,LOCAL GOVERNMENT,19492,NA,NA
504,"WORCESTER CITY CLERK ELECTION
DEVSION - 455 MAIN ST ROOM 208 -
WORCESTER, MA 01608",Worcester,MA,NA,LOCAL GOVERNMENT,159506,NA,25027 
505,"TOWN OF YARMOUTH
1146 ROUTE 28
S. YARMOUTH, MA 02664",Yarmouth,MA,NA,LOCAL GOVERNMENT,9595,NA,NA
506,"CITY OF ADRIAN
135 E MAUMEE ST
ADRIAN, MI 49221",Adrian,MI,NA,LOCAL GOVERNMENT,15157,NA,NA
507,"CITY OF ALBION ELECTION DEPARTMENT
112 W CASS STREET
ALBION, MI 49224",Albion,MI,NA,LOCAL GOVERNMENT,6920,NA,NA
508,"ALLENDALE CHARTER TOWNSHIP
6676 LAKE MICHIGAN DR
ALLENDALE, MI 49401",Allendale,MI,NA,LOCAL GOVERNMENT,15398,NA,NA
509,"CITY OF ALMA
525 E. SUPERIOR STREET
ALMA, MI 48801",Alma,MI,NA,LOCAL GOVERNMENT,5483,NA,NA
510,"CITY OF ANN ARBOR							
301 E. HURON STREET							
ANN ARBOR, MI 48104",Ann Arbor,MI,38-6004534,LOCAL GOVERNMENT,417268,NA,NA
511,"CITY OF BATTLE CREEK							
10 N. DIVISION STREET							
BATTLE CREEK, MI 49014",Battle Creek,MI,NA,LOCAL GOVERNMENT,200000,NA,NA
512,"CITY OF BAY CITY
301 WASHINGTON AVE
BAY CITY, MI 48708",Bay City,MI,NA,LOCAL GOVERNMENT,21841,NA,NA
513,"BEDFORD TOWNSHIP
8100 JACKMAN ROAD
TEMPERANCE, MI 48182",Bedford,MI,NA,LOCAL GOVERNMENT,9376,NA,NA
514,"BENTON CHARTER TOWNSHIP
1725 TERRITIORIAL RD.
BENTON HARBOR, MI 49022",Benton,MI,NA,LOCAL GOVERNMENT,14558,NA,NA
515,"BENTON CHARTER TOWNSHIP
1725 TERRITIORIAL RD.
BENTON HARBOR, MI 49022",Benton,MI,NA,LOCAL GOVERNMENT,11078,NA,NA
516,"CITY OF BENTON HARBOR
1295 E. NAPIER
BENTON HARBOR, MI 49022",Benton Harbor,MI,NA,LOCAL GOVERNMENT,120840,NA,NA
517,"CITY OF BIG RAPIDS
226 N MICHIGAN AVENUE
BIG RAPIDS, MI 49307",Big Rapids,MI,NA,LOCAL GOVERNMENT,8351,NA,NA
518,"BRIDGEPORT CHARTER TOWNSHIP
6740 DIXIE HIGHWAY
BRIDGEPORT, MI 48722",Bridgeport,MI,38-6018173,LOCAL GOVERNMENT,8563,NA,NA
519,"CHARTER TOWNSHIP OF BROWNSTOWN							
21313 TELEGRAPH ROAD							
BROWNSTOWN, MI 48183",Brownstown,MI,38-6006887,LOCAL GOVERNMENT,15733,NA,NA
520,"SAGINAW							
1160 SOUTH OUTER DRIVE							
SAGINAW, MI 48601",Saginaw,MI,38-6029179,LOCAL GOVERNMENT,8512,NA,26145 
521,"CITY OF CADILLAC
200 N LAKE ST.
CADILLAC, MI 49601",Cadillac,MI,38-6004541,LOCAL GOVERNMENT,5112,NA,NA
522,"CHARTER TOWNSHIP OF CANTON
1150 S. CANTON CENTER
CANTON, MI 48188",Canton,MI,38-6008155,LOCAL GOVERNMENT,42931,NA,NA
523,"CITY OF CENTER LINE
7070 E. TEN MILE
CENTER LINE, MI 48015",Center Line,MI,38-6004668,LOCAL GOVERNMENT,5096,NA,NA
524,"CHARTER TOWNSHIP OF CLINTON
40700 ROMEO PLANK ROAD
CLINTON TOWNSHIP, MI 48038",Clinton,MI,38-6006897,LOCAL GOVERNMENT,62288,NA,26037 
525,"CHARTER TOWNSHIP OF COMMERCE
2009 TOWNSHIP DRIVE
COMMERCE TOWNSHIP, MI 48390",Commerce,MI,38-6006899,LOCAL GOVERNMENT,15193,NA,NA
526,"CHARTER TOWNSHIP OF FLINT
1490 S DYE ROAD
FLINT, MI 48532",Flint,MI,38-6005302,LOCAL GOVERNMENT,24654,NA,NA
527,"CHARTER TOWNSHIP OF HARRISON
38151 LANSE CREUSE ST
HARRISON TOWNSHIP, MI 48045",Harrison,MI,38-6005518,LOCAL GOVERNMENT,11988,NA,NA
528,"HIGHLAND							
205 N JOHN ST							
HIGHLAND, MI 48357",Highland,MI,38-6026891,LOCAL GOVERNMENT,10000,NA,NA
529,"CHARTER TOWNSHIP OF INDEPENDENCE							
6483 WALDON CENTER DRIVE							
CLARKSTON, MI 48346",Independence,MI,38-6006906,LOCAL GOVERNMENT,13290,NA,NA
530,"NORTHVILLE TOWNSHIP
44405 SIX MILE ROAD
NORTHVILLE, MI 48168",Northville,MI,38-6006917,LOCAL GOVERNMENT,10000,NA,NA
531,"CHARTER TOWNSHIP OF OAKLAND
(GENERAL FUND - POOL) - 4393
COLLINS RD - ROCHESTER, MI 48306",Oakland,MI,38-2004632,LOCAL GOVERNMENT,11200,NA,26125 
532,"CHARTER TOWNSHIP OF OXFORD
300 DUNLAP RD.
OXFORD, MI 48371",Oxford,MI,38-1710580,LOCAL GOVERNMENT,6178,NA,NA
533,"CHARTER TOWNSHIP OF UNION,
MICHIGAN - 2010 SOUTH LINCOLN ROAD
- MT PLEASANT, MI 48858",Union,MI,NA,LOCAL GOVERNMENT,10417,NA,NA
534,"CHARTER TOWNSHIP OF YPSILANTI
7200 S. HURON RIVER DR.
YPSILANTI, MI 48197",Ypsilanti,MI,38-6007433,LOCAL GOVERNMENT,39445,NA,NA
535,"CHARTER TOWNSHIP OF CHESTERFIELD
47275 SUGARBUSH RD.
CHESTERFIELD TOWNSHIP, MI 48047",Chesterfield,MI,38-6006891,LOCAL GOVERNMENT,16545,NA,NA
536,"CITY OF BURTON
4303 S CENTER RD
BURTON, MI 48519",Burton,MI,38-6006890,LOCAL GOVERNMENT,18866,NA,NA
537,"CITY OF FARMINGTON HILLS							
31555 ELEVEN MILE ROAD							
FARMINGTON HILLS, MI 48336",Farmington Hills,MI,38-6006902,LOCAL GOVERNMENT,92172,NA,NA
538,"FRASER CITY, CITYT OF FRASER							
CLERK'S ELECTION OFFICE - 33000							
GARFIELD RD - FRASER, MI 48026",Fraser,MI,38-6007219,LOCAL GOVERNMENT,8099,NA,NA
539,"CITY OF GROSSE POINTE WOODS
20025 MACK PLAZA
GROSSE POINTE WOODS, MI 48236",Grosse Pointe Woods,MI,38-6007179,LOCAL GOVERNMENT,22262,NA,NA
540,"CITY OF NILES
333 N 2ND STREET, STE. 301
NILES, MI 49120",Niles,MI,38-6004720,LOCAL GOVERNMENT,6877,NA,NA
541,"CITY OF ROYAL OAK
203 S TROY ST
ROYAL OAK, MI 48067",Royal Oak,MI,38-6004646,LOCAL GOVERNMENT,43948,NA,NA
542,"CITY OF TRAVERSE CITY
400 BOARDMAN AVENUE
TRAVERSE CITY, MI 49684",Traverse Oak,MI,38-6004740,LOCAL GOVERNMENT,7407,NA,NA
543,"CITY OF WAYNE DEPARTMENT OF
ELECTIONS - 3355 S. WAYNE RD. -
WAYNE, MI 48184",Wayne,MI,38-6037548,LOCAL GOVERNMENT,11169,NA,26163 
544,"CITY OF DEARBORN
16901 MICHIGAN AVENUE
DEARBORN, MI 48126",Dearborn,MI,38-6004605,LOCAL GOVERNMENT,400000,NA,NA
545,"CITY OF DEARBORN HEIGHTS
6045 FENTON
DEARBORN HEIGHTS, MI 48127",Dearborn Heights,MI,38-1712300,LOCAL GOVERNMENT,27643,NA,NA
546,"DELHI CHARTER TOWNSHIP							
2074 AURELIUS ROAD							
HOLT, MI 48842",Delhi,MI,38-6019639,LOCAL GOVERNMENT,11688,NA,NA
547,"DELTA CHARTER TOWNSHIP							
7710 WEST SAGINAW HWY							
LANSING, MI 48917",Delta,MI,38-6030414,LOCAL GOVERNMENT,17465,NA,26041 
548,"CITY OF DETROIT
2 WOODWARD AVE.
DETROIT, MI 48226",Detroit,MI,38-6004606,LOCAL GOVERNMENT,7436450,NA,NA
549,"DEWITT CHARTER TOWNSHIP
1401 W. HERBISON RD
DEWITT, MI 48820",DeWitt,MI,38-1847399,LOCAL GOVERNMENT,6744,NA,NA
550,"CITY OF EAST LANSING
410 ABBOT ROAD
EAST LANSING, MI 48823",East Lansing,MI,38-6004674,LOCAL GOVERNMENT,200000,NA,NA
551,"CITY OF EASTPOINTE
2 WOODWARD AVE.
DETROIT, MI 48226",Eastpointe,MI,38-6004550,LOCAL GOVERNMENT,70175,NA,NA
552,"EATON COUNTY
101 S COCHRAN
CHARLOTTE, MI 48813",Eaton,MI,38-6004847,LOCAL GOVERNMENT,14536,NA,26045 
553,"ECORSE
3869 WEST JEFFERSON AVE.
ECORSE, MI 48229",Ecorse,MI,38-6004676,LOCAL GOVERNMENT,10365,NA,NA
554,"CITY OF ESCANABA
P.O. BOX 948
ESCANABA, MI 49829",Escanaba,MI,38-6004679,LOCAL GOVERNMENT,5976,NA,NA
555,"CITY OF FERNDALE							
300 E. 9 MILE ROAD							
FERNDALE, MI 48220",Ferndale,MI,38-6004610,LOCAL GOVERNMENT,21757,NA,NA
556,"CITY OF FLINT							
1490 S DYE ROAD							
FLINT, MI 48532",Flint,MI,38-6005302,LOCAL GOVERNMENT,312328,NA,NA
557,"FRENCHTOWN CHARTER TOWNSHIP
2744 VIVIAN RD
MONROE, MI 48162",Frenchtown,MI,38-6019659,LOCAL GOVERNMENT,9261,NA,NA
558,"GAINES CHARTER TOWNSHIP CLERK
DEPARTMENT - 8555 KALAMAZOO AVENUE
SE - CALEDONIA, MI 49316",Gaines,MI,38-1869895,LOCAL GOVERNMENT,11175,NA,NA
559,"CITY OF GARDEN CITY
6000 MIDDLEBELT ROAD
GARDEN CITY, MI 48135",Garden City,MI,38-6004685,LOCAL GOVERNMENT,12732,NA,NA
560,"GENOA CHARTER TOWNSHIP
2911 DORR ROAD
BRIGHTON, MI 48116",Genoa,MI,38-1904651,LOCAL GOVERNMENT,6276,NA,NA
561,"GRAND HAVEN CHARTER TOWNSHIP
13300 168TH AVE
GRAND HAVEN, MI 49417",Grand Haven,MI,38-1817417,LOCAL GOVERNMENT,6045,NA,NA
562,"CITY OF GRAND RAPIDS TREASURER
300 MONROE AVENUE, NW
GRAND RAPIDS, MI 49503",Grand Rapids,MI,38-6004689,LOCAL GOVERNMENT,280852,NA,NA
563,"GRAND TRAVERSE COUNTY
400 BOARDMAN AVENUE
TRAVERSE CITY, MI 49684",Grand Traverse,MI,38-6004852,LOCAL GOVERNMENT,10607,NA,26055 
564,"CITY OF GRANDVILLE							
3195 WILSON AVE SW							
GRANDVILLE, MI 49418",Grandville,MI,38-6004690,LOCAL GOVERNMENT,5860,NA,NA
565,"HAMBURG TOWNSHIP							
10405 MERRILL ROAD							
HAMBURG, MI 48139",Hamburg,MI,38-1855320,LOCAL GOVERNMENT,5007,NA,NA
566,"CITY OF HAMTRAMCK
3401 EVALINE
HAMTRAMCK, MI 48212",Hamtramck,MI,38-6004617,LOCAL GOVERNMENT,49889,NA,NA
567,"CITY OF HARPER WOODS
19617 HARPER AVE.
HARPER WOODS, MI 48225",Harper Woods,MI,38-6005461,LOCAL GOVERNMENT,17775,NA,NA
568,"CITY OF HAZEL PARK
111 E. NINE MILE RD.
HAZEL PARK, MI 48030",Hazel Park,MI,38-6004619,LOCAL GOVERNMENT,20600,NA,NA
569,"CITY OF HIGHLAND PARK
12050 WOODWARD AVENUE
HIGHLAND PARK, MI 48203",Highland Park,MI,38-6004695,LOCAL GOVERNMENT,26716,NA,NA
570,"CITY OF HOLLAND - ELECTIONS
270 S RIVER AVE
HOLLAND, MI 49423",Holland,MI,38-6004622,LOCAL GOVERNMENT,19040,NA,NA
571,"HOLLAND CHARTER TOWNSHIP
353 N 120TH AVE
HOLLAND, MI 49424",Holland Township,MI,38-6008275,LOCAL GOVERNMENT,19332,NA,NA
572,"CITY OF HUNTINGTON WOODS
26815 SCOTIA RD.
HUNTINGTON WOODS, MI 48070",Huntington Woods,MI,38-6004635,LOCAL GOVERNMENT,10000,NA,NA
573,"CHARTER TOWNSHIP OF HURON							
37865 MAHOGANY DR.							
NEW BOSTON, MI 48164",Huron Township,MI,38-6022361,LOCAL GOVERNMENT,5958,NA,NA
574,"INGHAM COUNTY CLERK							
PO BOX 179							
MASON, MI 48854",Ingham,MI,38-6005629,LOCAL GOVERNMENT,55806,NA,26065 
575,"CITY OF INKSTER
26215 TROWBRIDGE ST.
INKSTER, MI 48141",Inkster,MI,38-6007226,LOCAL GOVERNMENT,50546,NA,NA
576,"CITY OF JACKSON - CLERK ELECTIONS
161 W MICHIGAN AVE.
JACKSON, MI 49201",Jackson,MI,38-6004701,LOCAL GOVERNMENT,21874,NA,26075 
577,"CITY OF KALAMAZOO
241 W. SOUTH STREET
KALAMAZOO, MI 49007",Kalamazoo,MI,38-6004627,LOCAL GOVERNMENT,218869,NA,26077 
578,"CITY FO KENTWOOD
4900 BRETON AVE., SE
KENTWOOD, MI 49508",Kentwood,MI,38-1844797,LOCAL GOVERNMENT,31014,NA,NA
579,"CITY OF LANSING
124 W. MICHIGAN AVE
LANSING, MI 48933",Lansing,MI,38-6004628,LOCAL GOVERNMENT,488390,NA,NA
580,"CITY OF LAPEER
576 LIBERTY PARK
LAPEER, MI 48446",LaPeer,MI,38-6004630,LOCAL GOVERNMENT,5971,NA,NA
581,"LINCOLN CHARTER TOWNSHIP
PO BOX 279
STEVENSVILLE, MI 49127",Lincoln,MI,38-6036236,LOCAL GOVERNMENT,5325,NA,NA
582,"CITY OF LINCOLN PARK CLERKS OFFICE							
1355 SOUTHFIELD ROAD							
LINCOLN PARK, MI 48146",Lincoln Park,MI,38-6004632,LOCAL GOVERNMENT,25199,NA,NA
583,"CITY OF LIVONIA							
33000 CIVIC CENTER DRIVE							
LIVONIA, MI 48154",Livonia,MI,38-6005820,LOCAL GOVERNMENT,142154,NA,NA
584,"MACOMB TOWNSHIP
54111 BROUGHTON RD
MACOMB, MI 48042",Macomb Township,MI,38-1884898,LOCAL GOVERNMENT,78700,NA,NA
585,"CHARTER TOWNSHIP OF MADISON
3804 S. ADRIAN HWY.
ADRIAN, , MI 49221",Madison Township,MI,38-6003771,LOCAL GOVERNMENT,5264,NA,NA
586,"CITY OF MADISON HEIGHTS
300 W. 13 MILE ROAD
MADISON HEIGHTS, MI 48071",Madison Heights,MI,38-6025685,LOCAL GOVERNMENT,30071,NA,NA
587,"CITY OF MARQUETTE
300 W BARAGA AVE
MARQUETTE, MI 49855",Marquette City,MI,38-6004521,LOCAL GOVERNMENT,15899,NA,NA
588,"MARQUETTE COUNTY
100 N. FRONT ST.
MARQUETTE, MI 49855",Marquette,MI,38-6004869,LOCAL GOVERNMENT,8210,NA,26103 
589,"CITY OF MELVINDALE
3100 OAKWOOD BLVD.
MELVINDALE, MI 48122",Melvindale,MI,38-6004637,LOCAL GOVERNMENT,7166,NA,NA
590,"CITY OF MONROE
120 E. FIRST ST
MONROE, MI 48161",Monroe,MI,38-6004638,LOCAL GOVERNMENT,10710,NA,26115 
591,"CITY OF MOUNT CLEMENS							
100 N. MAIN STREET							
MOUNT CLEMENS, MI 48043",Mount Clemens,MI,38-6004577,LOCAL GOVERNMENT,12274,NA,NA
592,"CITY OF MT PLEASANT							
320 WEST BROADWAY							
MT PLEASANT, MI 48858",Mt Pleasant,MI,38-6004717,LOCAL GOVERNMENT,20815,NA,NA
593,"MT. MORRIS TOWNSHIP
5447 BICENTENNIAL DR.
MT. MORRIS, MI 48458",Mt. Morris,MI,38-6024619,LOCAL GOVERNMENT,17854,NA,NA
594,"CITY OF MUSKEGON
933 TERRACE ST.
MUSKEGAN, MI 49440",Muskegon City,MI,38-6004522,LOCAL GOVERNMENT,433580,NA,NA
595,"MUSKEGON COUNTY CLERK
990 TERRACE STREET
MUSKEGON, MI 49442",Muskegon,MI,38-6006063,LOCAL GOVERNMENT,42531,NA,26121 
596,"MUSKEGON CHARTER TOWNSHIP
1990 E. APPLE AVE
MUSKEGON, MI 49442",Muskegon Township,MI,38-6006915,LOCAL GOVERNMENT,9464,NA,NA
597,"CITY OF MUSKEGON HEIGHTS
2724 PECK STREET
MUSKEGON HEIGHTS, MI 49444",Muskegon Heights,MI,38-6004639,LOCAL GOVERNMENT,26110,NA,NA
598,"CITY OF NORTON SHORES ELECTION
DIVISION - 4814 HENRY STREET -
NORTON SHORES, MI 49441",Norton Shores,MI,38-6006141,LOCAL GOVERNMENT,11391,NA,NA
599,"CITY OF NOVI
45175 W 10 MILE RD
NOVI, MI 48375",Novi,MI,38-6032551,LOCAL GOVERNMENT,26194,NA,NA
600,"CITY OF OAK PARK							
14000 OAK PARK BLVD.							
OAK PARK, MI 48237",Oak Park,MI,38-6004641,LOCAL GOVERNMENT,77694,NA,NA
601,"COUNTY OF OAKLAND							
2100 PONTIAC LAKE ROAD							
WATERFORD, MI 48328",Oakland,MI,38-6004876,COUNTY GOVERNMENT,157908,NA,26125 
602,"CHARTER TOWNSHIP OF ORION
2525 JOSLYN ROAD
LAKE ORION, MI 48360",Orion Township,MI,38-6006171,LOCAL GOVERNMENT,10648,NA,NA
603,"OTTAWA COUNTY TREASURER
12220 FILLMORE ST., ROOM 130
WEST OLIVE, MI 49460",Ottawa,MI,38-6004883,COUNTY GOVERNMENT,28679,NA,26139 
604,"PARK TOWNSHIP
549 RED OAK CT.
HOLLAND, MI 49424",Park Township,MI,38-6037134,LOCAL GOVERNMENT,5470,NA,NA
605,"PLAINFIELD CHARTER TOWNSHIP
6161 BELMONT AVE NE
BELMONT, MI 49306",Plainfield Township,MI,38-6029174,LOCAL GOVERNMENT,12325,NA,NA
606,"PLYMOUTH TOWNSHIP
9955 N HAGGERTY ROAD
PLYMOUTH, MI 48170",Plymouth Township,MI,38-6007665,LOCAL GOVERNMENT,8246,NA,NA
607,"CITY OF PONTIAC
47450 WOODWARD
PONTIAC, MI 48342",Pontiac,MI,38-6005034,LOCAL GOVERNMENT,405640,NA,NA
608,"CITY OF PORT HURON
100 MCMORRAN BLVD.
PORT HURON, MI 48060",Port Huron,MI,38-6004727,LOCAL GOVERNMENT,18662,NA,NA
609,"CHARTER TOWNSHIP OF PORT HURON							
3800 LAPEER RD.							
PORT HURON, MI 48060",Port Huron Township,MI,38-6035198,LOCAL GOVERNMENT,5590,NA,NA
610,"CITY OF PORTAGE							
7900 SOUTH WESTNEDGE AVE.							
PORTAGE, MI 49002",Portage,MI,38-6006266,LOCAL GOVERNMENT,21507,NA,NA
611,"CHARTER TOWNSHIP OF REDFORD
15145 BEECH DALY ROAD
REDFORD, MI 48239",Redford Township,MI,NA,LOCAL GOVERNMENT,32355,NA,NA
612,"CITY OF ROCHESTER HILLS
1000 ROCHESTER HILLS DR.
ROCHESTER HILLS, MI 48309",Rochester Hills,MI,38-6006880,LOCAL GOVERNMENT,50670,NA,NA
613,"CITY OF ROMULUS
11111 WAYNE ROAD
ROMULUS, MI 48174",Romulus,MI,38-6006334,LOCAL GOVERNMENT,16645,NA,NA
614,"CITY OF SAGINAW
1315 S WASHINGTON AVE
SAGINAW, MI 48601",Saginaw,MI,38-6004647,LOCAL GOVERNMENT,402878,NA,26145 
615,"SAGINAW CHARTER TOWNSHIP
4980 SHATTUCK RD.
SAGINAW, MI 48603",Saginaw Township,MI,38-6020253,LOCAL GOVERNMENT,22033,NA,NA
616,"SCIO TOWNSHIP
827 NORTH ZEEB RD.
ANN ARBOR, MI 48103",Scio Township,MI,38-1948636,LOCAL GOVERNMENT,6900,NA,NA
617,"THE CHARTER TOWNSHIP OF SHELBY
52700 VAN DYKE AVENUE
SHELBY TWP, MI 48316",Shelby Township,MI,38-6025448,LOCAL GOVERNMENT,28515,NA,NA
618,"CITY OF SOUTHFIELD							
26000 EVERGREEN ROAD							
SOUTHFIELD, MI 48037",Southfield,MI,38-6031668,LOCAL GOVERNMENT,446225,NA,NA
619,"CITY OF SOUTHGATE							
14400 DIX-TOLEDO							
SOUTHGAGE, MI 48195",Southgate,MI,38-6034466,LOCAL GOVERNMENT,16435,NA,NA
620,"SPRINGFIELD TOWNSHIP
12000 DAVISBURG RD
DAVISBURG, MI 48350",Springfield Township,MI,38-6245538,LOCAL GOVERNMENT,5260,NA,NA
621,"CITY OF ST. CLAIR SHORES
27600 JEFFERSON AVENUE
ST. CLAIR SHORES, MI 48081",St. Clair Shores,MI,38-6004730,LOCAL GOVERNMENT,23770,NA,NA
622,"CITY OF ST. LOUIS
1520 MARKET ST.
ST. LOUIS, MO 63103",St. Louis,MO,38-6004592,LOCAL GOVERNMENT,5774,NA,NA
623,"CITY OF STERLING HEIGHTS
40555 UTICA RD
STERLING HEIGHTS, MI 48313",Sterling Heights,MI,38-1869375,LOCAL GOVERNMENT,65517,NA,NA
624,"SUPERIOR TOWNSHIP CLERK'S OFFICE
3040 NORTH PROSPECT
YPSILANTI, MI 48198",Superior Township,MI,38-6019649,LOCAL GOVERNMENT,8604,NA,NA
625,"CITY OF TAYLOR CLERK'S OFFICE
23555 GODDARD
TAYLOR, MI 48180",Taylor,MI,38-6006926,LOCAL GOVERNMENT,47000,NA,NA
626,"CITY OF TRENTON
2800 THIRD STREET
TRENTON, MI 48183",Trenton,MI,38-6007207,LOCAL GOVERNMENT,7285,NA,NA
627,"CITY OF TROY							
500 WEST BIG BEAVER							
TROY, MI 48084",Troy,MI,38-6027333,LOCAL GOVERNMENT,58393,NA,NA
628,"TUSCOLA COUNTY							
440 N STATE STREET							
CARO, MI 48723",Tuscola,MI,38-6004893,LOCAL GOVERNMENT,6320,NA,26157 
629,"VAN BUREN TOWNSHIP
46425 TYLER RD.
VAN BUREN TOWNSHIP, MI 48111",Van Buren Township,MI,38-6007135,LOCAL GOVERNMENT,19418,NA,NA
630,"CHARTER TOWNSHIP OF VIENNA
3400 W. VIENNA ROAD
CLIO, MI 48420",Vienna Township,MI,38-6024623,LOCAL GOVERNMENT,6102,NA,NA
631,"CITY OF WALKER
4243 REMEMBRANCE RD.
GRAND RAPIDS, MI 49534",Walker,MI,38-1705421,LOCAL GOVERNMENT,9265,NA,NA
632,"CITY OF WARREN MICHIGAN CLERKS
OFFICE - 1 CITY SQUARE STE 425 -
WARREN, MI 48093",Warren,MI,38-6006931,LOCAL GOVERNMENT,78624,NA,NA
633,"WASHTENAW COUNTY
200 N. MAIN STREET
ANN ARBOR, MI 48104",Washtenaw,MI,38-6004894,LOCAL GOVERNMENT,53174,NA,26161 
634,"CHARTER TOWNSHIP OF WATERFORD
5200 CIVIC CENTER DR.
WATERFORD, MI 48329",Waterford Township,MI,38-6007299,LOCAL GOVERNMENT,39351,NA,NA
635,"WAYNE COUNTY
3355 S. WAYNE RD.
WAYNE, MI 48184",Wayne,MI,38-6037548,LOCAL GOVERNMENT,416399,NA,26163 
636,"CHARTER TOWNSHIP OF WEST							
BLOOMFIELD - 4550 WALNUT LAKE ROAD							
- WEST BLOOMFIELD, MI 48325",West Bloomfield Township,MI,38-6007323,LOCAL GOVERNMENT,33369,NA,NA
637,"CITY OF WESTLAND, MICHIGAN -							
DEPARTMENT OF CITY CLERK							
(ELECTIONS) - 36300 WARREN ROAD -							
WESTLAND, MI 48185",Westland,MI,38-1810301,LOCAL GOVERNMENT,178789,NA,NA
638,"WHITE LAKE TOWNSHIP
7525 HIGHLAND RD.
WHITE LAKE, MI 48386",White Lake Township,MI,38-6036210,LOCAL GOVERNMENT,9394,NA,NA
639,"CITY OF WYANDOTTE
1292 POPLAR
WYANDOTTE, MI 48192",Wyandotte,MI,38-6004749,LOCAL GOVERNMENT,12042,NA,NA
640,"CITY OF WYOMING
1155 28TH STREET SW
WYOMING, MI 49509",Wyoming,MI,38-6006933,LOCAL GOVERNMENT,40632,NA,NA
641,"CITY OF YPSILANTI
1 S HURON ST
YPSILANTI, MI 48198",Ypsilanti,MI,38-6004750,LOCAL GOVERNMENT,100399,NA,NA
642,"BLUE EARTH COUNTY
204 S 5TH STREET
MANKATO, MN 56002",Blue Earth,MN,41-6005763,LOCAL GOVERNMENT,35784,NA,27013 
643,"COUNTY OF BROWN
14 SOUTH STATE ST
NEW ULM, MN 56073",Brown,MN,41-6005765,COUNTY GOVERNMENT,9795,NA,27015 
644,"CITY OF BURNSVILLE
100 CIVIC CENTER PARKWAY
BURNSVILLE, MN 55337",Burnsville,MN,NA,LOCAL GOVERNMENT,26457,NA,NA
645,"CITY OF CHASKA							
1 CITY HALL PLAZA							
CHASKA, MN 55318",Chaska,MN,41-6005041,LOCAL GOVERNMENT,6450,NA,NA
646,"DAKOTA COUNTY MN							
1590 HWY 55							
HASTINGS, MN 55033",Dakota,MN,41-6005786,LOCAL GOVERNMENT,613000,NA,27037 
647,"HENNEPIN COUNTY
300 S 6TH ST
MINNEAPOLIS, MN 55487",Hennepin,MN,41-6005801,COUNTY GOVERNMENT,1000000,NA,27053 
648,"HOUSTON COUNTY
304 S. MARSHALL STREET, RM. 112
CALEDONIA, MN 55921",Houston,MN,41-6005804,COUNTY GOVERNMENT,5880,NA,27055 
649,"CITY OF LAKEVILLE
20195 HOLYOKE AVE
LAKEVILLE, MN 55044",Lakeville,MN,41-6005304,LOCAL GOVERNMENT,16274,NA,NA
650,"CITY OF MINNEAPOLIS
350 SOUTH 5TH ST
MINNEAPOLIS, MN 55415",Minneapolis,MN,41-6005375,LOCAL GOVERNMENT,2297342,NA,NA
651,"CITY OF MOORHEAD
500 CENTER AVE.
MOORHEAD, MN 56560",Moorhead,MN,41-6005386,LOCAL GOVERNMENT,18918,NA,NA
652,"COUNTY OF NOBLES
315 10TH ST.
WORTHINGTON, MN 56187",Nobles,MN,41-6005854,COUNTY GOVERNMENT,11660,NA,27105 
653,"COUNTY OF OLMSTED
2122 CAMPUS DRIVE SE
ROCHESTER, MN 55904",Olmsted,MN,41-6005859,COUNTY GOVERNMENT,344484,NA,27109 
654,"RAMSEY COUNTY GENERAL ACCOUNT							
101 EAST FIFTH ST.							
SAINT PAUL, MN 55101",Ramsey,MN,41-6005875,COUNTY GOVERNMENT,2750000,NA,27123 
655,"RICE COUNTY							
320 THIRD ST NW							
FARIBAULT, MN 55021",Rice,MN,41-6005882,COUNTY GOVERNMENT,33362,NA,27131 
656,"ALCORN COUNTY BOARD OF SUPERVISORS
305 SOUTH FULTON DRIVE
CORINTH, MS 38834",Alcorn,MS,64-6000014,COUNTY GOVERNMENT,19523,NA,28003 
